1. 	г. Москва	г. Москва - город федерального значения	12,108,257 	11,979,529 	12,043,893   
2. 	г. Санкт-Петербург 	г. Санкт-Петербург - город федерального значения	5,131,942 	5,028,000 	5,079,971   
3. 	г. Новосибирск	Новосибирская область	1,547,910 	1,523,801 	1,535,856   
4. 	г. Екатеринбург	Свердловская область	1,412,346 	1,396,074 	1,404,210   
5. 	г. Нижний Новгород	Нижегородская область	1,263,873 	1,259,921 	1,261,897   
6. 	г. Казань	Республика Татарстан	1,190,850 	1,176,187 	1,183,519   
7. 	г. Самара	Самарская область	1,172,348 	1,171,598 	1,171,973   
8. 	г. Челябинск	Челябинская область	1,169,432 	1,160,670 	1,165,051   
9. 	г. Омск	Омская область	1,166,092 	1,156,201 	1,161,147   
10. 	г. Ростов-на-Дону	Ростовская область	1,109,835 	1,103,733 	1,106,784   
11. 	г. Уфа	Республика Башкортостан	1,096,702 	1,077,719 	1,087,211   
12. 	г. Красноярск	Красноярский край	1,035,528 	1,018,790 	1,027,159   
13. 	г. Пермь	Пермский край	1,026,477 	1,016,385 	1,021,431   
14. 	г. Волгоград	Волгоградская область	1,017,985 	1,013,887 	1,015,936   
15. 	г. Воронеж	Воронежская область	1,014,610 	1,003,638 	1,009,124   
